person_id,record_id,date_at_incident,occurance_number,total_contact,age_group
PID-0009,REC-00026,2024-05-12,1.0,7.0,18-29
PID-0009,REC-00046,2024-05-27,2.0,7.0,18-29
PID-0009,REC-00061,2024-05-28,3.0,7.0,18-29
PID-0009,REC-00478,2025-03-07,4.0,7.0,18-29
PID-0009,REC-00728,2025-09-03,5.0,7.0,18-29
PID-0009,REC-00756,2025-09-10,6.0,7.0,18-29
PID-0009,REC-00784,2025-10-08,7.0,7.0,18-29
PID-0010,REC-00029,2024-05-11,1.0,2.0,40-49
PID-0010,REC-00402,2025-01-14,2.0,2.0,40-49
PID-0011,REC-00292,2024-11-01,1.0,2.0,30-39
PID-0011,REC-00790,2026-01-01,2.0,2.0,40-49
PID-0012,REC-00643,2025-07-23,1.0,2.0,30-39
PID-0012,REC-00707,2025-08-18,2.0,2.0,30-39
PID-0015,REC-00533,2025-04-30,1.0,2.0,30-39
PID-0015,REC-00536,2025-04-30,2.0,2.0,30-39
PID-0023,REC-00817,2025-10-18,1.0,2.0,UNDER 18
PID-0023,REC-00820,2025-10-21,2.0,2.0,UNDER 18
PID-0037,REC-00127,2024-07-27,1.0,3.0,18-29
PID-0037,REC-00148,2024-07-28,2.0,3.0,18-29
PID-0037,REC-00512,2025-04-08,3.0,3.0,18-29
PID-0044,REC-00362,2024-12-10,1.0,3.0,60-69
PID-0044,REC-00731,2025-09-28,2.0,3.0,60-69
PID-0044,REC-00782,2025-10-07,3.0,3.0,60-69
PID-0054,REC-00121,2024-07-19,1.0,2.0,30-39
PID-0054,REC-00158,2024-08-10,2.0,2.0,30-39
PID-0057,REC-00037,2024-05-19,1.0,19.0,40-49
PID-0057,REC-00038,2024-05-19,2.0,19.0,40-49
PID-0057,REC-00120,2024-06-30,3.0,19.0,40-49
PID-0057,REC-00151,2024-07-30,4.0,19.0,40-49
PID-0057,REC-00164,2024-08-11,5.0,19.0,40-49
PID-0057,REC-00228,2024-09-18,6.0,19.0,40-49
PID-0057,REC-00255,2024-10-11,7.0,19.0,40-49
PID-0057,REC-00345,2024-12-13,8.0,19.0,40-49
PID-0057,REC-00352,2024-12-15,9.0,19.0,40-49
PID-0057,REC-00367,2024-12-17,10.0,19.0,40-49
PID-0057,REC-00520,2025-04-19,11.0,19.0,40-49
PID-0057,REC-00551,2025-05-14,12.0,19.0,40-49
PID-0057,REC-00618,2025-07-26,13.0,19.0,40-49
PID-0057,REC-00655,2025-08-02,14.0,19.0,40-49
PID-0057,REC-00669,2025-08-13,15.0,19.0,40-49
PID-0057,REC-00676,2025-08-13,16.0,19.0,40-49
PID-0057,REC-00678,2025-08-15,17.0,19.0,40-49
PID-0057,REC-00687,2025-08-24,18.0,19.0,40-49
PID-0057,REC-00689,2025-08-26,19.0,19.0,40-49
PID-0065,REC-00117,2024-07-15,1.0,2.0,40-49
PID-0065,REC-00118,2024-07-16,2.0,2.0,40-49
PID-0067,REC-00729,2025-09-02,1.0,2.0,18-29
PID-0067,REC-00796,2025-11-27,2.0,2.0,18-29
PID-0075,REC-00297,2024-11-09,1.0,4.0,50-59
PID-0075,REC-00389,2024-12-31,2.0,4.0,50-59
